AAAA;TRIMESTRE;DEPARTAMENTO;PIB_COLOMBIA_ANUAL;PIB_COLOMBIA_TRIMESTRAL;PIB_DEPARTAMENTO_ANUAL;APORTE;PIB_DEPARTAMENTAL_TRIMESTRAL
2009;3;vaupés;612616.0;154000.0;184.17095893635187;0.000300630344190083;46.29707300527278
2009;4;vaupés;612616.0;167000.0;184.17095893635187;0.000300630344190083;50.20526747974386
2009;1;vichada;612616.0;143000.0;479.37185912090786;0.0007824997373899928;111.89746244676897
2009;2;vichada;612616.0;149000.0;479.37185912090786;0.0007824997373899928;116.59246087110893
2009;3;vichada;612616.0;154000.0;479.37185912090786;0.0007824997373899928;120.50495955805889
2009;4;vichada;612616.0;167000.0;479.37185912090786;0.0007824997373899928;130.6774561441288
2010;1;amazonas;640151.0;148000.0;486.17805674294135;0.0007594740252580115;112.4021557381857
2010;2;amazonas;640151.0;156000.0;486.17805674294135;0.0007594740252580115;118.47794794024979
2010;3;amazonas;640151.0;160000.0;486.17805674294135;0.0007594740252580115;121.51584404128184
2010;4;amazonas;640151.0;176000.0;486.17805674294135;0.0007594740252580115;133.66742844541002
2010;1;antioquia;640151.0;148000.0;88492.49504848177;0.13823690824271426;20459.06241992171
2010;2;antioquia;640151.0;156000.0;88492.49504848177;0.13823690824271426;21564.957685863425
2010;3;antioquia;640151.0;160000.0;88492.49504848177;0.13823690824271426;22117.90531883428
2010;4;antioquia;640151.0;176000.0;88492.49504848177;0.13823690824271426;24329.695850717708
2010;1;arauca;640151.0;148000.0;5284.0731499863605;0.008254416770396922;1221.6536820187446
2010;2;arauca;640151.0;156000.0;5284.0731499863605;0.008254416770396922;1287.68901618192
2010;3;arauca;640151.0;160000.0;5284.0731499863605;0.008254416770396922;1320.7066832635076
2010;4;arauca;640151.0;176000.0;5284.0731499863605;0.008254416770396922;1452.7773515898582
2010;1;atlántico;640151.0;148000.0;26632.75430434173;0.041603862689180725;6157.371677998747
2010;2;atlántico;640151.0;156000.0;26632.75430434173;0.041603862689180725;6490.202579512193
2010;3;atlántico;640151.0;160000.0;26632.75430434173;0.041603862689180725;6656.618030268916
2010;4;atlántico;640151.0;176000.0;26632.75430434173;0.041603862689180725;7322.279833295807
2010;1;bogotá d.c.;640151.0;148000.0;167408.94535518353;0.26151477597501765;38704.18684430261
2010;2;bogotá d.c.;640151.0;156000.0;167408.94535518353;0.26151477597501765;40796.305052102754
2010;3;bogotá d.c.;640151.0;160000.0;167408.94535518353;0.26151477597501765;41842.364156002826
2010;4;bogotá d.c.;640151.0;176000.0;167408.94535518353;0.26151477597501765;46026.60057160311
2010;1;bolívar;640151.0;148000.0;23076.789357966394;0.03604897806606003;5335.248753776884
2010;2;bolívar;640151.0;156000.0;23076.789357966394;0.03604897806606003;5623.640578305364
2010;3;bolívar;640151.0;160000.0;23076.789357966394;0.03604897806606003;5767.836490569604
2010;4;bolívar;640151.0;176000.0;23076.789357966394;0.03604897806606003;6344.620139626565
2010;1;boyacá;640151.0;148000.0;17346.016995581424;0.027096758414157634;4010.3202452953296
2010;2;boyacá;640151.0;156000.0;17346.016995581424;0.027096758414157634;4227.094312608591
2010;3;boyacá;640151.0;160000.0;17346.016995581424;0.027096758414157634;4335.481346265221
2010;4;boyacá;640151.0;176000.0;17346.016995581424;0.027096758414157634;4769.029480891743
2010;1;caldas;640151.0;148000.0;10675.32742860875;0.016676264551033663;2468.0871535529823
2010;2;caldas;640151.0;156000.0;10675.32742860875;0.016676264551033663;2601.4972699612513
2010;3;caldas;640151.0;160000.0;10675.32742860875;0.016676264551033663;2668.202328165386
2010;4;caldas;640151.0;176000.0;10675.32742860875;0.016676264551033663;2935.0225609819245
2010;1;caquetá;640151.0;148000.0;2573.310348401396;0.004019848986256986;594.937649966034
2010;2;caquetá;640151.0;156000.0;2573.310348401396;0.004019848986256986;627.0964418560899
2010;3;caquetá;640151.0;160000.0;2573.310348401396;0.004019848986256986;643.1758378011178
2010;4;caquetá;640151.0;176000.0;2573.310348401396;0.004019848986256986;707.4934215812295
2010;1;casanare;640151.0;148000.0;9780.595948354065;0.015278576380188525;2261.2293042679016
2010;2;casanare;640151.0;156000.0;9780.595948354065;0.015278576380188525;2383.45791530941
2010;3;casanare;640151.0;160000.0;9780.595948354065;0.015278576380188525;2444.572220830164
2010;4;casanare;640151.0;176000.0;9780.595948354065;0.015278576380188525;2689.0294429131804
2010;1;cauca;640151.0;148000.0;10527.986557692253;0.016446098744971504;2434.0226142557826
2010;2;cauca;640151.0;156000.0;10527.986557692253;0.016446098744971504;2565.5914042155546
2010;3;cauca;640151.0;160000.0;10527.986557692253;0.016446098744971504;2631.375799195441
2010;4;cauca;640151.0;176000.0;10527.986557692253;0.016446098744971504;2894.5133791149847
2010;1;cesar;640151.0;148000.0;11558.931327489556;0.01805656997722343;2672.3723566290673
2010;2;cesar;640151.0;156000.0;11558.931327489556;0.01805656997722343;2816.824916446855
2010;3;cesar;640151.0;160000.0;11558.931327489556;0.01805656997722343;2889.0511963557487
2010;4;cesar;640151.0;176000.0;11558.931327489556;0.01805656997722343;3177.9563159913237
2010;1;chocó;640151.0;148000.0;3793.911356124453;0.005926588189543488;877.1350520524362
