AAAA;MM;DD;FECHA;FECHA_ORD;REGION;PIB
2021;10;10;2021-10-10;738073;antioquia;33660.85568638472
2021;10;11;2021-10-11;738074;antioquia;33663.411043682834
2021;10;12;2021-10-12;738075;antioquia;33665.96640098118
2021;10;13;2021-10-13;738076;antioquia;33668.5217582793
2021;10;14;2021-10-14;738077;antioquia;33671.07711557741
2021;10;15;2021-10-15;738078;antioquia;33673.63247287576
2021;10;16;2021-10-16;738079;antioquia;33676.187830173876
2021;10;17;2021-10-17;738080;antioquia;33678.74318747199
2021;10;18;2021-10-18;738081;antioquia;33681.29854477034
2021;10;19;2021-10-19;738082;antioquia;33683.853902068455
2021;10;20;2021-10-20;738083;antioquia;33686.40925936657
2021;10;21;2021-10-21;738084;antioquia;33688.96461666492
2021;10;22;2021-10-22;738085;antioquia;33691.51997396303
2021;10;23;2021-10-23;738086;antioquia;33694.07533126138
2021;10;24;2021-10-24;738087;antioquia;33696.6306885595
2021;10;25;2021-10-25;738088;antioquia;33699.18604585761
2021;10;26;2021-10-26;738089;antioquia;33701.74140315596
2021;10;27;2021-10-27;738090;antioquia;33704.296760454075
2021;10;28;2021-10-28;738091;antioquia;33706.85211775219
2021;10;29;2021-10-29;738092;antioquia;33709.40747505054
2021;10;30;2021-10-30;738093;antioquia;33711.962832348654
2021;10;31;2021-10-31;738094;antioquia;33714.518189647
2021;11;1;2021-11-01;738095;antioquia;33717.07354694512
2021;11;2;2021-11-02;738096;antioquia;33719.62890424323
2021;11;3;2021-11-03;738097;antioquia;33722.18426154158
2021;11;4;2021-11-04;738098;antioquia;33724.739618839696
2021;11;5;2021-11-05;738099;antioquia;33727.29497613781
2021;11;6;2021-11-06;738100;antioquia;33729.85033343616
2021;11;7;2021-11-07;738101;antioquia;33732.405690734275
2021;11;8;2021-11-08;738102;antioquia;33734.96104803239
2021;11;9;2021-11-09;738103;antioquia;33737.51640533074
2021;11;10;2021-11-10;738104;antioquia;33740.07176262885
2021;11;11;2021-11-11;738105;antioquia;33742.6271199272
2021;11;12;2021-11-12;738106;antioquia;33745.18247722532
2021;11;13;2021-11-13;738107;antioquia;33747.73783452343
2021;11;14;2021-11-14;738108;antioquia;33750.29319182178
2021;11;15;2021-11-15;738109;antioquia;33752.848549119895
2021;11;16;2021-11-16;738110;antioquia;33755.40390641801
2021;11;17;2021-11-17;738111;antioquia;33757.95926371636
2021;11;18;2021-11-18;738112;antioquia;33760.514621014474
2021;11;19;2021-11-19;738113;antioquia;33763.06997831282
2021;11;20;2021-11-20;738114;antioquia;33765.62533561094
2021;11;21;2021-11-21;738115;antioquia;33768.18069290905
2021;11;22;2021-11-22;738116;antioquia;33770.7360502074
2021;11;23;2021-11-23;738117;antioquia;33773.291407505516
2021;11;24;2021-11-24;738118;antioquia;33775.84676480363
2021;11;25;2021-11-25;738119;antioquia;33778.40212210198
2021;11;26;2021-11-26;738120;antioquia;33780.957479400095
2021;11;27;2021-11-27;738121;antioquia;33783.51283669821
2021;11;28;2021-11-28;738122;antioquia;33786.06819399656
2021;11;29;2021-11-29;738123;antioquia;33788.62355129467
2021;11;30;2021-11-30;738124;antioquia;33791.17890859302
2021;12;1;2021-12-01;738125;antioquia;33793.73426589114
2021;12;2;2021-12-02;738126;antioquia;33796.28962318925
2021;12;3;2021-12-03;738127;antioquia;33798.8449804876
2021;12;4;2021-12-04;738128;antioquia;33801.400337785715
2021;12;5;2021-12-05;738129;antioquia;33803.95569508383
2021;12;6;2021-12-06;738130;antioquia;33806.51105238218
2021;12;7;2021-12-07;738131;antioquia;33809.066409680294
2021;12;8;2021-12-08;738132;antioquia;33811.62176697864
2021;12;9;2021-12-09;738133;antioquia;33814.17712427676
2021;12;10;2021-12-10;738134;antioquia;33816.73248157487
2021;12;11;2021-12-11;738135;antioquia;33819.28783887322
2021;12;12;2021-12-12;738136;antioquia;33821.843196171336
2021;12;13;2021-12-13;738137;antioquia;33824.39855346945
2021;12;14;2021-12-14;738138;antioquia;33826.9539107678
2021;12;15;2021-12-15;738139;antioquia;33829.509268065915
2021;12;16;2021-12-16;738140;antioquia;33832.06462536426
2021;12;17;2021-12-17;738141;antioquia;33834.61998266238
2021;12;18;2021-12-18;738142;antioquia;33837.17533996049
2021;12;19;2021-12-19;738143;antioquia;33839.73069725884
2021;12;20;2021-12-20;738144;antioquia;33842.28605455696
2021;12;21;2021-12-21;738145;antioquia;33844.84141185507
2021;12;22;2021-12-22;738146;antioquia;33847.39676915342
2021;12;23;2021-12-23;738147;antioquia;33849.952126451535
2021;12;24;2021-12-24;738148;antioquia;33852.50748374965
2021;12;25;2021-12-25;738149;antioquia;33855.062841048
2021;12;26;2021-12-26;738150;antioquia;33857.618198346114
2021;12;27;2021-12-27;738151;antioquia;33860.17355564446
2021;12;28;2021-12-28;738152;antioquia;33862.72891294258
2021;12;29;2021-12-29;738153;antioquia;33865.28427024069
2021;12;30;2021-12-30;738154;antioquia;33867.83962753904
2021;12;31;2021-12-31;738155;antioquia;33870.394984837156
2022;1;1;2022-01-01;738156;antioquia;33872.95034213527
2022;1;2;2022-01-02;738157;antioquia;33875.50569943362
2022;1;3;2022-01-03;738158;antioquia;33878.061056731734
2022;1;4;2022-01-04;738159;antioquia;33880.61641403008
2022;1;5;2022-01-05;738160;antioquia;33883.1717713282
